Adv Roll No,SC
256018024,1704
255021420,1705
251014159,1706
251147185,1707
252017321,1708
257017371,1709
256148057,1710
253049187,1711
253049507,1712
251136165,1713
256127016,1714
254063090,1715
255023543,1716
257037318,1717
256106476,1718
251071731,1719
256122149,1720
256155132,1721
256045178,1722
254038090,1723
254064047,1724
256130126,1725
256028353,1726
252051355,1727
252007101,1728
251021248,1729
251110337,1730
257013224,1731
251082074,1732
251018126,1733
255002093,1734
252103164,1735
252081279,1736
257027243,1737
254003104,1738
254041129,1739
252052183,1740
254031150,1741
254038160,1742
254044250,1743
256059222,1744
251125287,1745
255055181,1746
255066380,1747
252070185,1748
252058310,1749
251141611,1750
256119294,1751
254041066,1752
256106068,1753
257030147,1754
257008040,1755
256163065,1756
252041032,1757
254030145,1758
256170453,1759
252093142,1760
254048079,1761
255030538,1762
253022125,1763
257004020,1764
255017567,1765
257039011,1766
251004116,1767
254057005,1768
256195206,1769
255032227,1770
257039020,1771
252009163,1772
253046010,1773
254055045,1774
256148175,1775
256145457,1776
251130155,1777
256145033,1778
256122143,1779
255058325,1780
252059315,1781
252032059,1782
251122119,1783
256164341,1784
257027378,1785
256054139,1786
255032090,1787
255067232,1788
255061083,1789
252063167,1790
256017057,1791
257032175,1792
252075135,1793
252010014,1794
251117143,1795
257020030,1796
256180013,1797
254052209,1798
254026111,1799
251080139,1800
255059077,1801
254042442,1802
256058349,1803
256147188,1804
256162308,1805
251092151,1806
252001013,1807
256152055,1808
251145078,1809
252080299,1810
256150147,1811
256012001,1812
257027367,1813
254042161,1814
254039385,1815
257045087,1816
256032271,1817
256032130,1818
256161454,1819
252027115,1820
255061218,1821
252028073,1822
257001257,1823
254033206,1824
257037419,1825
255018296,1826
253049069,1827
252006018,1828
255036039,1829
254052137,1830
251142634,1831
256060169,1832
255058054,1833
252006205,1834
252100214,1835
256058356,1836
254036013,1837
256040029,1838
252032177,1839
253033122,1840
256133057,1841
251057098,1842
251088072,1843
252052013,1844
252072193,1845
256019224,1846
254003444,1847
256135146,1848
252034175,1849
254006193,1850
254021088,1851
256099041,1852
257054320,1853
251112074,1854
257024060,1855
256016101,1856
256041009,1857
251072267,1858
256061316,1859
252005387,1860
251003034,1861
254013030,1862
256163058,1863
257028213,1864
256011053,1865
256100018,1866
257009091,1867
256011044,1868
252101379,1869
254035358,1870
256006126,1871
251072133,1872
257002342,1873
252004402,1874
252072134,1875
252020078,1876
253049249,1877
255005244,1878
252039138,1879
251124052,1880
256099035,1881
256054073,1882
255051045,1883
255067169,1884
255007470,1885
255067333,1886
256056028,1887
252081265,1888
257027068,1889
253031049,1890
257029184,1891
257016533,1892
256097184,1893
254038072,1894
257039148,1895
256156071,1896
256160090,1897
251146028,1898
257055022,1899
252103295,1900
255058448,1901
252034161,1902
251033016,1903
252004546,1904
256043219,1905
254020410,1906
254029209,1907
253021278,1908
255021496,1909
254034012,1910
252005165,1911
